skill_category,skill,info_url
"Application Programming Interfaces (API)","Facebook API",https://lightcast.io/open-skills/skills/BGS892CABC45CFC503BA
"Application Programming Interfaces (API)","Facebook Graph API",https://lightcast.io/open-skills/skills/KS123SV6LRVVSHVVMB70
"Application Programming Interfaces (API)",FastAPI,https://lightcast.io/open-skills/skills/ES4654925D2963CB73D7
"Application Programming Interfaces (API)","Generic Buffer Management",https://lightcast.io/open-skills/skills/KS7G3PG5VNGZGNP0XBXW
"Application Programming Interfaces (API)","Google APIs",https://lightcast.io/open-skills/skills/KS124F463RCBNG9LDZCR
"Application Programming Interfaces (API)","Graphics APIs",https://lightcast.io/open-skills/skills/ES3C9F07EE5AD0795230
"Application Programming Interfaces (API)","Graphics Device Interface",https://lightcast.io/open-skills/skills/KS1247H6DXC2QF03151M
"Application Programming Interfaces (API)","Hardware Platform Interface",https://lightcast.io/open-skills/skills/KS124LQ6RPFZR3V1CRRP
"Application Programming Interfaces (API)","Hasura GraphQL Engine",https://lightcast.io/open-skills/skills/ES2B6604B1F9FB5339D9
"Application Programming Interfaces (API)",Hateoas,https://lightcast.io/open-skills/skills/KS9QC5TR5JB0D90ALKV5
"Application Programming Interfaces (API)","Java Advanced Imaging",https://lightcast.io/open-skills/skills/KS125GN5WQ9DR02V4ZNY
"Application Programming Interfaces (API)","Java API For RESTful Web Services",https://lightcast.io/open-skills/skills/KS125HR75GST7VX8ZL7K
"Application Programming Interfaces (API)","Java API For XML Processing",https://lightcast.io/open-skills/skills/KS125HT6JT4CNJX1T6FD
"Application Programming Interfaces (API)","Java API For XML Registries",https://lightcast.io/open-skills/skills/KS125HT6WB68JFZX65QH
"Application Programming Interfaces (API)","Java Persistence API",https://lightcast.io/open-skills/skills/KS125HB70CNRRS0RX5KJ
"Application Programming Interfaces (API)","Java Remote Method Invocation",https://lightcast.io/open-skills/skills/KS125HC6220KFQ1RGJBN
"Application Programming Interfaces (API)","Java Transaction API",https://lightcast.io/open-skills/skills/KS125HJ67V3JCF1687RJ
"Application Programming Interfaces (API)",JavaMail,https://lightcast.io/open-skills/skills/KS125HK75NC7RHS22WPR
"Application Programming Interfaces (API)",Libvirt,https://lightcast.io/open-skills/skills/KS125TL626NS7FKJNYKG
"Application Programming Interfaces (API)","LinkedIn API",https://lightcast.io/open-skills/skills/KSEG3KJGMF7B82GRDH5U
"Application Programming Interfaces (API)","Location APIs",https://lightcast.io/open-skills/skills/KS125YC7423ZXRRBR4QB
"Application Programming Interfaces (API)","MBeans (Java API)",NULL
"Application Programming Interfaces (API)","Microsoft UI Automation",https://lightcast.io/open-skills/skills/KS126JV79J8HNZ7XYLB4
"Application Programming Interfaces (API)","Mobile Rich Media Ad Interface Definitions (MRAID)",https://lightcast.io/open-skills/skills/BGS9F43BB8EC6B6E4B52
"Application Programming Interfaces (API)","Native API",https://lightcast.io/open-skills/skills/KS1273Y75H3SRX0SVSWG
"Application Programming Interfaces (API)",NetBIOS,https://lightcast.io/open-skills/skills/KS126XV6NQBGSG1J52LL
"Application Programming Interfaces (API)","Object Linking And Embedding - Database (OLE DB)",https://lightcast.io/open-skills/skills/KS1277T5X79GJHLRYNTW
"Application Programming Interfaces (API)",OpenGL,https://lightcast.io/open-skills/skills/KS12796736TWZ91FSFMC
"Application Programming Interfaces (API)","OpenAPI Specification",https://lightcast.io/open-skills/skills/ESBA9C90F47943F20B92
"Application Programming Interfaces (API)",OpenCL,https://lightcast.io/open-skills/skills/KS127B777YLP4QV98B1J
"Application Programming Interfaces (API)",OpenMAX,https://lightcast.io/open-skills/skills/KS127BP5YTHDDBH4DHMP
"Application Programming Interfaces (API)",OpenMP,https://lightcast.io/open-skills/skills/KS1279C73FX6ZRSZMSRZ
"Application Programming Interfaces (API)","Pluggable Authentication Modules (PAM)",NULL
"Application Programming Interfaces (API)","POSIX Threads",https://lightcast.io/open-skills/skills/KS127YN5XJVXL6HM3S67
"Application Programming Interfaces (API)","Postman API Platform",https://lightcast.io/open-skills/skills/KS7YXWLEAKN8QOFDFVS2
"Application Programming Interfaces (API)","Remote Application Platform",https://lightcast.io/open-skills/skills/KS7G6LC78K3X13W77KTH
"Application Programming Interfaces (API)","REST API Development",https://lightcast.io/open-skills/skills/BGSE06CE24B89ABF0441
"Application Programming Interfaces (API)","Rest Client",https://lightcast.io/open-skills/skills/KS78DEH6LGDO3G8HP7FI
"Application Programming Interfaces (API)","RESTEasy (Jboss)",https://lightcast.io/open-skills/skills/KS4401T706BHR4FWLJK7
"Application Programming Interfaces (API)","RESTful API",https://lightcast.io/open-skills/skills/KS4401V5WX78L6JX0NW7
"Application Programming Interfaces (API)","Social Media APIs",https://lightcast.io/open-skills/skills/BGS33CEDEB27215C63FB
"Application Programming Interfaces (API)","Software Adapters",https://lightcast.io/open-skills/skills/KS687LC75YG9S5X3PQQ2
"Application Programming Interfaces (API)",Strongloop,https://lightcast.io/open-skills/skills/KS28L9U9IPIO686K95ZK
"Application Programming Interfaces (API)","Swagger UI",https://lightcast.io/open-skills/skills/KS3EP9CXRSFB1XIK8GDP
"Application Programming Interfaces (API)","Task Parallel Library (.NET Framework)",https://lightcast.io/open-skills/skills/KS441765YZ9DWRZ4G6C3
"Application Programming Interfaces (API)","Vulkan Graphics API",https://lightcast.io/open-skills/skills/ESE4F25E3EAE4ED00367
"Application Programming Interfaces (API)","Web Rest",NULL
"Application Programming Interfaces (API)","WCF/Web API",https://lightcast.io/open-skills/skills/BGS705EBC2569C9EE551
"Application Programming Interfaces (API)",WebRTC,https://lightcast.io/open-skills/skills/KS4421574Y7BCXPPGHVF
"Application Programming Interfaces (API)","Windows API",https://lightcast.io/open-skills/skills/KS126JY7457B6B783MLJ
"Application Programming Interfaces (API)","WordPress REST API",https://lightcast.io/open-skills/skills/BGS67E1952EB356A3F14
"Application Programming Interfaces (API)","Workflow APIs",https://lightcast.io/open-skills/skills/KS4424X6L4CFK93DNZ2G
"Artificial Intelligence and Machine Learning (AI/ML)","3D Reconstruction",https://lightcast.io/open-skills/skills/KS1201K6P46HG0XKD41J
"Artificial Intelligence and Machine Learning (AI/ML)","Activity Recognition",https://lightcast.io/open-skills/skills/KSZL61W5WB9CRWALSETH
"Artificial Intelligence and Machine Learning (AI/ML)","AdaBoost (Adaptive Boosting)",https://lightcast.io/open-skills/skills/KSEJZFLTMFCZ2ZK59YNU
"Artificial Intelligence and Machine Learning (AI/ML)","Adversarial Machine Learning",https://lightcast.io/open-skills/skills/ES81D2EA8C54BE9D647B
"Artificial Intelligence and Machine Learning (AI/ML)","AIOps (Artificial Intelligence for IT Operations)",https://lightcast.io/open-skills/skills/ES85AFFFA8A800AA4183
"Artificial Intelligence and Machine Learning (AI/ML)","Amazon Textract",https://lightcast.io/open-skills/skills/ES24C5C98A45F551E85E
"Artificial Intelligence and Machine Learning (AI/ML)","Apache Mahout",https://lightcast.io/open-skills/skills/KSRT0BE62KLQPF7WZC3O
